EXP UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-376,2HCVS(203)-2-TC-T2(180),NI,Passive,CV1-TC30,TC30,CV1TC30,T1-TC-246(180),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-375,2HCVS(203)-2-TC-T1(0),NI,Passive,CV1-TC46,TC46,CV1TC46,T1-TC-195(0),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-378,2HCVS(203)-2-TC-T1(180),NI,Passive,CV1-TC32,TC32,CV1TC32,T1-TC-195(180),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-374,2HCVS(203)-2-TC-M0(0),NI,Passive,CV1-TC47,TC47,CV1TC47,T1-TC-157(0),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Control,T1,TC,TC-K-373,2HCVS(203)-2-TC-M0(180),NI,Passive,CV1-TC34,TC34,CV1TC34,T1-TC-157(180)*,,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Control,T2,TC,TC-K-373,2HCVS(203)-2-TC-M0(180),NI,Passive,CV1-TC34,TC34,CV1TC34,T1-TC-157(180)*,,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-380,2HCVS(203)-2-TC-B1(0),NI,Passive,CV1-TC48,TC48,CV1TC48,T1-TC-120(0),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-379,2HCVS(203)-2-TC-B1(180),NI,Passive,CV1-TC36,TC36,CV1TC36,T1-TC-120(180),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Meas,T1,TC,TC-K-377,2HCVS(203)-2-TC-B2(180),NI,Passive,CV1-TC38,TC38,CV1TC38,T1-TC-69(180),,,,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Process,T1,H,2HCVS(203)-2,B1,H7-L/N,HC7(HB4/CB2),DAC-HB-SSR-HC7,NI->HC7,H7-L/N,B1-H-2HCL,4,2,0.33,FM
EXP_H_250102_CV1_A1,EXP_H_250102,Heater,CV1,A1,CVHS15-250102,Process,T2,H,2HCVS(203)-2,B2,H8-L/N,HC8(HB4/CB2),DAC-HB-SSR-HC8,NI->HC8,H8-L/N,B2-H-2HCS,4,2,0.33,FM
